language_id,language_name,latitude,longitude,lineage
hind1267,Hinduri,31.016,77.144,"Indo-European, Classical Indo-European, Indo-Iranian, Indo-Aryan, Middle-Modern Indo-Aryan, Eastern Dardic, Himachali, Nuclear Himachali"
hiju1238,Hijuk,4.39641,10.9081,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Basaa-Yaunde (A40-70), Basaa (A.40), Basaa-Bakoko, Basaa-Hijuk"
seit1239,Seit-Kaitetu,-3.6111,128.068,"Austronesian, Malayo-Polynesian, Nunusaku, Piru Bay, East Piru Bay, Solehua, Seram Straits, Ambonic, Central Ambon"
hili1240,Hiligaynon,10.4018,122.974,"Austronesian, Malayo-Polynesian, Greater Central Philippine, Central Philippine, Bisayan, Central Bisayan, Peripheral Central Bisayan, Capiznon-Ilonggo-Kawayan"
hind1269,Hindi,25.0,77.0,"Indo-European, Classical Indo-European, Indo-Iranian, Indo-Aryan, Middle-Modern Indo-Aryan, Continental Indo-Aryan, Midlands Indo-Aryan, Shaurasenic, Indo-Aryan Central zone, Western Hindi, Hindustani"
tsoa1238,Northern Tshwa,-19.7974,26.9638,"Khoe-Kwadi, Khoe, Non-Khoekhoe, Ost-Kxoe, Tshwa Khoe"
hima1247,Himarimã,-6.25217,295.29953,"Unattested, Arawan (Unattested)"
hitt1242,Hittite,40.0,35.0,"Indo-European, Anatolian"
hiww1237,Hiw,-13.126367,166.584857,"Austronesian, Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, North and Central Vanuatu, Northern Vanuatu, Torres-Banks linkage, Hiw-Lo-Toga"
hixk1239,Hixkaryána,-0.16265,301.19847,"Cariban, Parukotoan, Waiwaian"
haji1235,Haji,-5.07781,104.714,"Austronesian, Malayo-Polynesian, Malayo-Chamic, Malayic"
kahe1238,Kahe,-3.51412,37.5759,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, East Bantu, Northeast Savanna Bantu, Kilimanjaro-Taita, Kilimanjaro Bantu, Chaga, Central Kilimanjaro"
